Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
0.21110299488677867,0.5,0.33333333333333337,0.375,0.625,Have certificate,0.24761904761904763
0.9999999999999999,0.5,0.33333333333333337,0.625,0.875,Have certificate,0.3333333333333333
0.2841490138787436,0.7749999999999999,0.6666666666666666,0.375,0.625,Have certificate,0.7142857142857143
0.8100803506208911,0.875,0.6666666666666666,0.375,0.375,Have certificate,0.7142857142857143
0.36449963476990505,0.5,0.16666666666666666,0.625,0.375,Have certificate,0.31904761904761897
0.21840759678597516,0.19999999999999996,0.5,0.625,0.625,Have certificate,0.4190476190476191
0.4740686632578524,0.375,0.33333333333333337,0.375,0.375,Sale contract,0.7142857142857143
0.2695398100803506,0.4375,0.6666666666666666,0.625,0.625,Have certificate,0.5047619047619047
0.5032870708546384,0.5,0.33333333333333337,0.625,0.625,Have certificate,0.7
0.2695398100803506,0.5,0.0,0.125,0.125,Have certificate,0.1285714285714286
0.12344777209642073,0.5,0.33333333333333337,0.125,0.125,Have certificate,0.17142857142857137
0.6420745069393717,0.625,0.33333333333333337,0.375,0.375,Sale contract,0.23809523809523808
0.3060628195763331,0.375,0.6666666666666666,0.375,0.375,Have certificate,0.3333333333333333
0.35719503287070853,0.5,0.5,0.625,0.375,Have certificate,0.5904761904761905
0.22571219868517164,0.5,0.5,0.375,0.625,Have certificate,0.18571428571428572
0.7991234477720964,0.625,0.33333333333333337,0.875,0.375,Have certificate,0.37142857142857144
0.9999999999999999,1.0,0.16666666666666666,0.625,0.375,Sale contract,0.7619047619047619
0.22571219868517164,0.4375,0.33333333333333337,0.375,0.375,Have certificate,0.10476190476190478
0.6961285609934259,0.5,0.0,0.375,0.125,Have certificate,0.018095238095238095
0.12344777209642073,0.275,0.5,0.375,0.375,Have certificate,0.24761904761904763
0.17019722425127828,0.375,0.33333333333333337,0.125,0.0,Have certificate,0.2714285714285714
0.5252008765522279,0.625,0.5,0.375,0.375,Have certificate,0.31904761904761897
0.4156318480642805,0.625,0.33333333333333337,0.625,0.875,Have certificate,0.438095238095238
0.349890430971512,0.42500000000000004,0.16666666666666666,0.375,0.625,Have certificate,0.47619047619047616
0.23301680058436813,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.44285714285714284
0.22571219868517164,1.0,0.6666666666666666,0.625,0.625,Have certificate,0.6666666666666666
0.2695398100803506,0.30000000000000004,0.8333333333333334,0.625,0.625,Have certificate,0.2142857142857143
0.379108838568298,0.5,0.8333333333333334,1.0,1.0,Have certificate,0.6285714285714284
0.8539079620160701,0.5,0.16666666666666666,0.625,0.125,Have certificate,0.6571428571428571
0.3864134404674945,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.6285714285714284
0.4156318480642805,0.875,0.33333333333333337,0.375,0.125,Have certificate,0.18571428571428572
0.4156318480642805,0.5,0.5,0.625,0.625,Have certificate,0.5238095238095238
0.2695398100803506,0.5,0.5,0.625,0.625,Have certificate,0.14285714285714285
0.7078159240321402,0.5,0.33333333333333337,0.625,0.375,Have certificate,0.4285714285714285
0.1964937910883857,0.22499999999999998,0.6666666666666666,0.375,0.625,Have certificate,0.2952380952380952
0.05770635500365229,0.125,0.33333333333333337,0.125,0.125,Have certificate,0.08095238095238097
0.7808619430241052,0.4750000000000001,0.16666666666666666,0.125,0.125,Have certificate,0.38095238095238093
0.9634769905040175,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.6238095238095237
0.3718042366691015,0.5,0.5,0.625,0.625,Have certificate,0.4476190476190476
0.2695398100803506,0.5,0.5,0.625,0.625,Have certificate,0.09047619047619046
0.40321402483564645,0.5,0.33333333333333337,0.625,0.875,Have certificate,0.4285714285714285
0.36449963476990505,0.275,0.5,0.375,0.625,Have certificate,0.5238095238095238
0.1745799853907962,0.5249999999999999,0.8333333333333334,0.375,0.375,Have certificate,0.619047619047619
0.1964937910883857,0.5,0.16666666666666666,0.125,0.125,Have certificate,0.26190476190476186
0.7151205259313367,1.0,0.0,0.375,0.375,Have certificate,0.36190476190476184
0.12344777209642073,0.5,0.16666666666666666,0.125,0.125,Have certificate,0.23333333333333334
0.5032870708546384,0.5,0.6666666666666666,0.625,0.625,Have certificate,0.8095238095238094
0.7078159240321402,0.625,0.33333333333333337,0.375,0.375,Have certificate,0.219047619047619
0.9999999999999999,1.0,0.16666666666666666,0.625,0.625,Sale contract,0.33809523809523806
0.4302410518626735,0.5,0.16666666666666666,0.375,0.375,Have certificate,0.17142857142857137
0.45215485756026297,0.875,0.0,0.125,0.0,Have certificate,0.06190476190476188
0.3279766252739226,0.5,0.5,0.375,0.625,Have certificate,0.49523809523809526
0.2008765522279036,0.125,0.33333333333333337,0.375,0.375,Have certificate,0.5238095238095238
0.3060628195763331,0.44999999999999996,0.33333333333333337,0.375,0.375,Have certificate,0.15714285714285714
0.2695398100803506,0.5,0.5,0.625,0.375,Have certificate,0.438095238095238
0.15485756026296568,0.0,0.33333333333333337,0.375,0.375,Have certificate,0.5904761904761905
0.45215485756026297,0.5,0.33333333333333337,0.625,0.625,Have certificate,0.8571428571428571
0.5909422936449963,0.44999999999999996,0.16666666666666666,0.375,0.125,Have certificate,0.1380952380952381
0.9634769905040175,1.0,0.33333333333333337,0.375,0.375,Have certificate,0.6238095238095237
0.20379839298758218,0.275,0.6666666666666666,0.625,0.375,Have certificate,0.33809523809523806
0.2556610664718773,1.0,0.33333333333333337,0.375,0.375,Have certificate,0.4285714285714285
0.4156318480642805,0.875,0.5,0.625,0.625,Have certificate,0.6666666666666666
0.23301680058436813,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.17619047619047618
0.9999999999999999,0.8999999999999999,0.16666666666666666,0.375,0.625,Have certificate,0.4247619047619048
0.7078159240321402,0.875,0.16666666666666666,0.125,0.0,Have certificate,0.16190476190476194
0.3060628195763331,0.5,0.6666666666666666,0.625,0.375,Have certificate,0.32857142857142857
0.5909422936449963,1.0,0.33333333333333337,1.0,1.0,Have certificate,0.5238095238095238
0.5617238860482103,0.5,0.33333333333333337,0.875,0.875,Have certificate,0.5619047619047619
0.35719503287070853,0.5,0.33333333333333337,0.0,0.0,Sale contract,0.5714285714285714
0.4886778670562454,0.5,0.5,0.875,0.375,Have certificate,0.619047619047619
0.4010226442658875,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.5133333333333333
0.46676406135865595,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.3333333333333333
0.4156318480642805,0.5,0.5,0.625,0.375,Have certificate,0.3333333333333333
0.44485025566106645,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.6952380952380953
0.6347699050401753,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.219047619047619
0.35719503287070853,0.5,0.33333333333333337,0.625,0.375,Have certificate,0.4095238095238095
0.25493060628195763,0.5,0.5,0.875,0.625,Have certificate,0.31904761904761897
0.2768444119795471,0.5,0.5,0.875,0.375,Have certificate,0.24761904761904763
0.8831263696128561,0.5,0.33333333333333337,0.625,0.125,Have certificate,0.5047619047619047
0.6530314097881665,0.875,0.33333333333333337,0.375,0.625,Have certificate,0.5666666666666667
0.6639883126369612,0.8,0.33333333333333337,0.375,0.375,Have certificate,0.36190476190476184
0.3097151205259313,0.30000000000000004,0.33333333333333337,0.375,0.375,Have certificate,0.2142857142857143
0.23301680058436813,0.375,0.5,0.625,0.375,Have certificate,0.5238095238095238
0.23301680058436813,0.5,0.5,0.375,0.375,Have certificate,0.14285714285714285
0.5982468955441929,0.895,0.16666666666666666,0.375,0.125,Have certificate,0.1476190476190476
0.4156318480642805,0.375,0.6666666666666666,0.875,0.875,Have certificate,0.7238095238095237
0.49598246895544196,0.5,0.16666666666666666,0.125,0.125,Have certificate,0.37142857142857144
0.2914536157779401,0.275,0.5,0.125,0.375,Have certificate,0.7285714285714285
0.26223520818115414,0.5249999999999999,0.5,0.375,0.375,Have certificate,0.8571428571428571
0.44485025566106645,0.625,0.5,0.625,0.875,Have certificate,0.6666666666666666
0.7078159240321402,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.06666666666666665
0.6245434623813001,0.5,0.33333333333333337,0.375,0.625,Have certificate,0.8095238095238094
0.15266617969320673,0.375,0.5,0.125,0.375,Have certificate,0.31238095238095237
0.2695398100803506,0.375,0.33333333333333337,0.375,0.375,Have certificate,0.5714285714285714
0.35719503287070853,0.625,0.5,0.375,0.375,Have certificate,0.3047619047619048
0.6493791088385683,0.625,0.33333333333333337,0.625,0.625,Have certificate,0.5666666666666667
0.6347699050401753,0.875,0.33333333333333337,0.625,0.625,Have certificate,0.4714285714285714
0.726807888970051,1.0,0.0,0.125,0.125,Have certificate,0.438095238095238
0.9999999999999999,1.0,0.33333333333333337,0.625,0.625,Have certificate,0.38095238095238093
0.4302410518626735,0.44999999999999996,0.6666666666666666,0.875,0.375,Have certificate,0.7523809523809524
0.9999999999999999,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.8571428571428571
0.9999999999999999,1.0,0.16666666666666666,0.625,0.375,Have certificate,0.6666666666666666
0.9999999999999999,1.0,0.6666666666666666,0.375,0.375,Have certificate,0.8571428571428571
0.20379839298758218,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.14095238095238094
0.4156318480642805,0.375,0.33333333333333337,0.625,0.875,Have certificate,0.6142857142857143
0.3864134404674945,0.875,0.5,0.625,0.625,Have certificate,0.5857142857142857
