City,Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
Tphcm,90.0,5.0,4.0,4.0,5.0,Have certificate,3.8499999999999996
Hải Phòng,55.0,4.0,5.0,5.5,5.0,Have certificate,8.3
Vĩnh Long,49.99999999999999,6.5,1.9999999999999996,2.0,2.0,Have certificate,3.899999999999999
Bến Tre,65.0,4.5,4.0,4.0,5.0,Have certificate,4.2
Hà Giang,60.00000000000001,4.5,3.0,3.0,3.0,Have certificate,4.299999999999999
Tphcm,100.0,5.0,3.0,3.0,4.0,Sale contract,3.9499999999999993
Đường Số 11,32.99999999999999,4.5,3.0,1.5,1.5,Sale contract,1.399999999999999
Bình Dương,60.00000000000001,4.5,3.0,3.0,3.0,Have certificate,4.7
Sơn La,69.99999999999999,4.5,5.0,5.0,4.0,Have certificate,6.9
Lâm Đồng,40.0,4.5,4.0,5.0,4.0,Have certificate,9.1
Nam Từ Liêm,40.0,4.5,5.0,5.5,3.0,Have certificate,6.25
Yên Bái,65.99999999999999,4.0,4.0,5.0,3.0,Have certificate,8.95
Tphcm,34.99999999999999,4.5,4.0,4.0,3.0,Have certificate,6.25
Tuyên Quang,73.99999999999999,4.5,1.9999999999999996,4.0,3.0,Have certificate,6.829999999999999
Bình Thuận,45.0,4.5,1.9999999999999996,2.0,2.0,Have certificate,4.4
Bình Thuận,69.99999999999999,4.5,3.0,3.0,3.0,Have certificate,6.799999999999999
Tuyên Quang,45.0,4.5,3.0,3.0,3.0,Sale contract,7.0
Nam Từ Liêm,85.0,4.5,1.9999999999999996,4.0,4.0,Have certificate,5.9
Vĩnh Long,48.0,4.5,4.0,5.0,3.0,Have certificate,6.4
Bình Định,56.099999999999994,4.2,4.0,4.0,3.0,Have certificate,6.3
Hải Phòng,40.0,4.5,5.0,3.0,3.0,Have certificate,7.4799999999999995
Bình Thuận,36.49999999999999,3.6,6.0,3.0,4.0,Have certificate,4.1
Đường Số 11,35.99999999999999,4.5,4.0,3.0,3.0,Have certificate,7.489999999999999
Bình Thuận,63.99999999999999,4.0,5.0,4.0,5.0,Have certificate,6.699999999999999
Bình Thuận,11.999999999999986,3.0,5.0,3.0,4.0,Have certificate,1.8
Bình Thuận,90.0,4.5,3.0,3.0,2.0,Have certificate,3.1999999999999997
Bình Định,53.0,4.3,5.0,5.5,5.0,Have certificate,6.39
Bình Định,96.0,5.5,1.9999999999999996,5.0,5.0,Have certificate,8.5
Đường Số 11,30.999999999999993,6.2,3.0,4.0,3.0,Have certificate,6.799999999999999
Bình Dương,56.0,3.85,4.0,4.0,5.0,Have certificate,8.5
Bình Dương,116.79999999999998,4.5,3.0,3.0,2.0,Have certificate,7.3
Sơn La,56.0,5.0,5.0,3.0,3.0,Have certificate,7.599999999999999
Bình Định,63.99999999999999,4.0,5.0,5.5,5.5,Have certificate,5.98
Nam Từ Liêm,65.0,5.5,3.0,3.0,3.0,Have certificate,4.7
Bến Tre,49.99999999999999,4.5,4.0,4.0,4.0,Have certificate,7.0
Hưng Yên,100.0,5.0,3.0,3.0,3.0,Have certificate,2.1499999999999995
Hậu Giang,69.99999999999999,6.5,3.0,3.0,3.0,Have certificate,9.599999999999998
Bình Thuận,55.0,5.0,5.0,4.0,5.0,Have certificate,6.799999999999999
Bến Tre,37.0,4.0,6.0,3.0,3.0,Have certificate,5.599999999999999
Đường Số 11,45.0,3.5,4.0,4.0,3.0,Have certificate,4.95
Tuyên Quang,30.000000000000004,6.0,6.0,3.0,4.0,Have certificate,4.6
Bình Định,67.5,4.5,4.0,4.0,4.0,Have certificate,4.5
Bến Tre,140.0,6.5,3.0,3.0,3.0,Have certificate,10.0
Hậu Giang,45.0,4.5,5.0,3.0,4.0,Have certificate,5.699999999999999
Thừa Thiên Huế,140.0,6.5,3.0,5.0,5.5,Have certificate,9.699999999999998
Thừa Thiên Huế,46.5,5.0,3.0,3.0,3.0,Have certificate,2.7999999999999985
Bình Dương,67.99999999999999,4.0,1.0,3.0,3.0,Have certificate,2.7999999999999985
Tphcm,120.0,4.5,3.0,3.0,3.0,Have certificate,7.0
Bến Tre,40.0,4.5,1.9999999999999996,2.0,2.0,Have certificate,1.379999999999999
Thừa Thiên Huế,120.0,4.5,5.0,3.0,3.0,Have certificate,8.0
Hải Phòng,97.99999999999999,6.5,3.0,3.0,3.0,Sale contract,6.9
Tuyên Quang,79.99999999999999,4.5,3.0,4.0,4.0,Have certificate,1.4999999999999998
Hưng Yên,31.999999999999993,4.5,5.0,3.0,4.0,Have certificate,5.699999999999999
Sơn La,75.0,6.5,1.0,3.0,1.5,Have certificate,2.35
Hải Phòng,90.0,6.0,3.0,3.0,4.0,Have certificate,5.799999999999999
Sơn La,86.0,4.0,1.9999999999999996,5.5,2.0,Have certificate,7.599999999999999
Tuyên Quang,69.99999999999999,4.5,3.0,4.0,4.0,Have certificate,2.7
Vĩnh Long,120.0,5.0,5.0,3.0,3.0,Have certificate,10.0
Tuyên Quang,41.8,4.5,3.0,3.0,3.0,Have certificate,2.8499999999999988
Tphcm,48.60000000000001,4.5,3.0,2.0,2.0,Have certificate,2.9499999999999997
Bình Dương,56.0,4.5,3.0,3.0,3.0,Have certificate,4.65
Hà Giang,31.999999999999993,4.5,3.0,3.0,4.0,Have certificate,3.5999999999999996
Vĩnh Long,140.0,4.5,3.0,4.0,5.0,Have certificate,4.5
Phú Thọ,42.0,5.6,5.0,3.0,4.0,Have certificate,8.5
Hà Giang,114.0,6.0,5.0,3.0,3.0,Have certificate,8.5
Bình Dương,53.0,4.5,1.9999999999999996,4.0,3.0,Have certificate,4.349999999999999
Hậu Giang,32.99999999999999,3.3,4.0,4.0,4.0,Have certificate,5.4
Phú Thọ,67.99999999999999,4.0,3.0,3.0,3.0,Sale contract,8.5
Lâm Đồng,40.0,4.25,5.0,4.0,4.0,Have certificate,6.3
Hải Phòng,72.0,4.5,3.0,4.0,4.0,Have certificate,8.35
Vĩnh Long,40.0,4.5,1.0,2.0,2.0,Have certificate,2.35
Thừa Thiên Huế,19.999999999999996,4.5,3.0,2.0,2.0,Have certificate,2.7999999999999985
Thừa Thiên Huế,90.99999999999999,5.0,3.0,3.0,3.0,Sale contract,3.499999999999999
Tuyên Quang,45.0,4.0,5.0,3.0,3.0,Have certificate,4.5
Bình Thuận,51.99999999999999,4.5,4.0,4.0,3.0,Have certificate,7.2
Bình Định,33.99999999999999,4.5,4.0,3.0,4.0,Have certificate,2.9499999999999997
Bình Dương,112.5,5.0,3.0,5.0,3.0,Have certificate,4.8999999999999995
Thừa Thiên Huế,140.0,6.5,1.9999999999999996,4.0,3.0,Sale contract,9.0
Nam Từ Liêm,33.99999999999999,4.25,3.0,3.0,3.0,Have certificate,2.099999999999999
Đường Số 11,98.4,4.5,1.0,3.0,2.0,Have certificate,1.189999999999999
Đường Số 11,19.999999999999996,3.6,4.0,3.0,3.0,Have certificate,3.5999999999999996
Tphcm,26.399999999999988,4.0,3.0,2.0,1.5,Have certificate,3.8499999999999996
Tphcm,75.0,5.0,4.0,3.0,3.0,Have certificate,4.349999999999999
Hải Phòng,60.00000000000001,5.0,3.0,4.0,5.0,Have certificate,5.599999999999999
Sơn La,51.0,4.2,1.9999999999999996,3.0,4.0,Have certificate,5.999999999999999
Thừa Thiên Huế,34.99999999999999,4.5,3.0,3.0,3.0,Have certificate,5.6499999999999995
Thừa Thiên Huế,33.99999999999999,6.5,5.0,4.0,4.0,Have certificate,8.0
Hải Phòng,40.0,3.7,6.0,4.0,4.0,Have certificate,3.25
Tuyên Quang,55.0,4.5,6.0,5.5,5.5,Have certificate,7.599999999999999
Bình Dương,120.0,4.5,1.9999999999999996,4.0,2.0,Have certificate,7.9
Tuyên Quang,56.0,4.5,5.0,3.0,3.0,Have certificate,7.599999999999999
Hậu Giang,60.00000000000001,6.0,3.0,3.0,2.0,Have certificate,2.9499999999999997
Bình Thuận,60.00000000000001,4.5,4.0,4.0,4.0,Have certificate,6.5
Hà Giang,40.0,4.5,4.0,4.0,4.0,Have certificate,2.499999999999999
Hưng Yên,100.0,4.5,3.0,4.0,3.0,Have certificate,5.499999999999999
Bến Tre,30.000000000000004,3.3999999999999995,5.0,3.0,4.0,Have certificate,4.1
Hà Giang,10.999999999999986,3.0,3.0,2.0,2.0,Have certificate,1.8499999999999994
Tuyên Quang,110.0,4.4,1.9999999999999996,2.0,2.0,Have certificate,4.999999999999999
Hải Phòng,135.0,4.5,3.0,3.0,3.0,Have certificate,7.549999999999999
Thừa Thiên Huế,54.0,4.5,4.0,4.0,4.0,Have certificate,5.699999999999999
Hải Phòng,40.0,4.5,4.0,4.0,4.0,Have certificate,1.9499999999999993
Phú Thọ,58.3,4.5,3.0,4.0,5.0,Have certificate,5.499999999999999
Bà Rịa Vũng Tàu,53.0,3.6,4.0,3.0,4.0,Have certificate,6.5
Phú Thọ,27.0,4.6,6.0,3.0,3.0,Have certificate,7.499999999999999
Bình Định,30.000000000000004,4.5,1.9999999999999996,2.0,2.0,Have certificate,3.749999999999999
Hải Phòng,100.99999999999999,6.5,1.0,3.0,3.0,Have certificate,4.799999999999999
Thừa Thiên Huế,19.999999999999996,4.5,1.9999999999999996,2.0,2.0,Have certificate,3.4499999999999997
Tphcm,72.0,4.5,5.0,4.0,4.0,Have certificate,9.499999999999998
Hưng Yên,100.0,5.0,3.0,3.0,3.0,Have certificate,3.2999999999999994
Bình Dương,140.0,6.5,1.9999999999999996,4.0,4.0,Sale contract,4.549999999999999
Hưng Yên,62.0,4.5,1.9999999999999996,3.0,3.0,Have certificate,2.7999999999999985
Bình Dương,65.0,6.0,1.0,2.0,1.5,Have certificate,1.649999999999999
Bà Rịa Vũng Tàu,48.0,4.5,4.0,3.0,4.0,Have certificate,6.199999999999999
Thừa Thiên Huế,30.600000000000005,3.0,3.0,3.0,3.0,Have certificate,6.5
Tuyên Quang,45.0,4.3,3.0,3.0,3.0,Have certificate,2.6499999999999995
Hà Giang,40.0,4.5,4.0,4.0,3.0,Have certificate,5.599999999999999
Vĩnh Long,24.299999999999994,2.5,3.0,3.0,3.0,Have certificate,7.2
Hải Phòng,65.0,4.5,3.0,4.0,4.0,Have certificate,10.0
Bình Thuận,83.99999999999999,4.3,1.9999999999999996,3.0,2.0,Have certificate,2.45
Bình Dương,135.0,6.5,3.0,3.0,3.0,Have certificate,7.549999999999999
Thừa Thiên Huế,30.999999999999993,3.6,5.0,4.0,3.0,Have certificate,4.549999999999999
