City,Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
Hưng Yên,0.6347699050401753,0.875,0.1666666666666666,0.625,0.375,Sale contract,0.2095238095238095
Bình Định,0.6201607012417822,0.75,0.6666666666666666,0.625,0.625,Sale contract,0.5333333333333332
Bến Tre,0.5982468955441929,0.5,0.3333333333333333,0.625,0.875,Have certificate,0.4666666666666667
Lâm Đồng,1.0,0.5,0.5,0.625,0.875,Have certificate,0.8095238095238094
Hưng Yên,0.5712198685171658,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.8285714285714284
Phú Thọ,0.6201607012417822,0.5,0.5,0.375,0.375,Sale contract,0.5428571428571428
Nam Từ Liêm,0.2549306062819576,0.5,0.1666666666666666,0.0,0.0,Have certificate,0.2952380952380952
Bình Định,0.2695398100803506,0.3999999999999999,0.5,0.375,0.625,Have certificate,0.638095238095238
Lâm Đồng,0.8027757487216947,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.4952380952380952
Hưng Yên,1.0,0.625,0.1666666666666666,0.375,0.375,Sale contract,0.3714285714285714
Bà Rịa Vũng Tàu,0.4821037253469685,0.375,0.3333333333333333,0.375,0.625,Have certificate,0.8571428571428571
Thừa Thiên Huế,0.7078159240321402,0.625,0.3333333333333333,0.875,0.375,Have certificate,0.6761904761904761
Yên Bái,0.1964937910883857,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.5857142857142857
Hà Giang,0.5982468955441929,0.5,0.3333333333333333,0.625,0.625,Have certificate,0.4666666666666667
Bà Rịa Vũng Tàu,0.3718042366691015,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.680952380952381
Hà Giang,0.3623082542001461,1.0,0.6666666666666666,1.0,0.375,Have certificate,0.6285714285714284
Thừa Thiên Huế,0.5105916727538349,0.625,0.5,0.625,0.625,Have certificate,0.8095238095238094
Đà Nẵng,0.5617238860482103,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.8571428571428571
Phú Thọ,0.8539079620160701,0.5,0.1666666666666666,0.375,0.375,Have certificate,0.2
Yên Bái,0.5799853907962016,0.5,0.5,0.625,0.375,Have certificate,0.4485714285714285
Đà Nẵng,0.3571950328707085,0.375,0.5,0.625,0.625,Have certificate,0.5238095238095238
Tphcm,0.3060628195763331,0.875,0.5,0.625,0.625,Have certificate,0.6333333333333333
Yên Bái,1.0,1.0,0.1666666666666666,0.375,0.375,Sale contract,0.438095238095238
Đà Nẵng,0.8539079620160701,0.5,0.3333333333333333,0.625,0.375,Have certificate,0.7047619047619048
Bình Dương,0.4448502556610664,0.375,0.3333333333333333,0.625,0.375,Have certificate,0.3523809523809524
Vĩnh Long,0.3425858290723155,0.3,0.6666666666666666,1.0,1.0,Have certificate,0.7523809523809524
Tphcm,0.2403214024835646,1.0,0.6666666666666666,0.375,0.625,Have certificate,0.438095238095238
Bình Dương,1.0,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.5047619047619047
Nam Từ Liêm,0.6201607012417822,0.5,0.5,0.375,0.375,Have certificate,0.5333333333333332
Hà Giang,1.0,0.5,0.1666666666666666,0.375,0.375,Sale contract,0.6476190476190475
Hậu Giang,0.7034331628926224,0.375,0.1666666666666666,0.375,0.125,Have certificate,0.8095238095238094
Sơn La,0.2184075967859751,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.3761904761904762
Bình Thuận,0.7078159240321402,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.619047619047619
Hà Giang,0.2257121986851716,0.5,0.5,0.375,0.375,Have certificate,0.1809523809523809
Hải Phòng,0.7078159240321402,1.0,0.3333333333333333,0.625,0.875,Have certificate,0.5238095238095238
